example_id                                                                          | status | run_time        |
./spec/unit/brand_logo/strategies/manifest_strategy_spec.rb[1:5:3:1]                | passed | 0.00015 seconds |
./spec/unit/brand_logo/strategies/manifest_strategy_spec.rb[1:5:4:1]                | passed | 0.00012 seconds |
./spec/unit/brand_logo/strategies/manifest_strategy_spec.rb[1:5:5:1]                | passed | 0.00017 seconds |
./spec/unit/brand_logo/strategies/manifest_strategy_spec.rb[1:5:6:1]                | passed | 0.00015 seconds |
./spec/unit/brand_logo/strategies/manifest_strategy_spec.rb[1:5:7:1]                | passed | 0.00038 seconds |
./spec/unit/brand_logo/strategies/meta_tag_strategy_spec.rb[1:1]                    | passed | 0.00091 seconds |
./spec/unit/brand_logo/strategies/meta_tag_strategy_spec.rb[1:2]                    | passed | 0.00033 seconds |
./spec/unit/brand_logo/strategies/meta_tag_strategy_spec.rb[1:3:1:1]                | passed | 0.00031 seconds |
./spec/unit/brand_logo/strategies/meta_tag_strategy_spec.rb[1:4:1:1]                | passed | 0.00018 seconds |
./spec/unit/brand_logo/strategies/meta_tag_strategy_spec.rb[1:4:2]                  | passed | 0.00123 seconds |
./spec/unit/brand_logo/strategies/meta_tag_strategy_spec.rb[1:5:1:1]                | passed | 0.00159 seconds |
./spec/unit/brand_logo/strategies/meta_tag_strategy_spec.rb[1:5:2:1]                | passed | 0.00226 seconds |
./spec/unit/brand_logo/strategies/meta_tag_strategy_spec.rb[1:5:3:1]                | passed | 0.00183 seconds |
./spec/unit/brand_logo/strategies/meta_tag_strategy_spec.rb[1:5:4:1]                | passed | 0.00127 seconds |
./spec/unit/brand_logo/strategies/meta_tag_strategy_spec.rb[1:5:5:1]                | passed | 0.00035 seconds |
./spec/unit/brand_logo/strategies/meta_tag_strategy_spec.rb[1:5:6:1]                | passed | 0.00158 seconds |
./spec/unit/brand_logo/strategies/meta_tag_strategy_spec.rb[1:5:7:1]                | passed | 0.00227 seconds |
./spec/unit/brand_logo/strategies/scraping/default_favicon_checker_spec.rb[1:1:1:1] | passed | 0.00006 seconds |
